song,performer,date,chart_position,hitTF
The Middle,"Zedd, Maren Morris & Grey",2018-08-04,15,1
The Middle,"Zedd, Maren Morris & Grey",2018-08-11,17,1
The Middle,"Zedd, Maren Morris & Grey",2018-08-18,19,1
The Middle,"Zedd, Maren Morris & Grey",2018-08-25,22,1
The Middle,"Zedd, Maren Morris & Grey",2018-09-01,25,1
The Middle,"Zedd, Maren Morris & Grey",2018-09-08,26,1
The Middle,"Zedd, Maren Morris & Grey",2018-09-15,35,1
The Middle,"Zedd, Maren Morris & Grey",2018-09-22,31,1
The Middle,"Zedd, Maren Morris & Grey",2018-09-29,35,1
The Middle,"Zedd, Maren Morris & Grey",2018-10-06,37,1
The Middle,"Zedd, Maren Morris & Grey",2018-10-13,46,1
The Middle,"Zedd, Maren Morris & Grey",2018-10-20,45,1
The Middle,"Zedd, Maren Morris & Grey",2018-10-27,43,1
The Middle,"Zedd, Maren Morris & Grey",2018-11-03,47,1
The Middle,"Zedd, Maren Morris & Grey",2018-11-10,46,1
The Motion,Drake,2019-08-17,61,1
The Ones That Didn't Make It Back Home,Justin Moore,2019-06-29,100,1
The Ones That Didn't Make It Back Home,Justin Moore,2019-07-06,93,1
The Ones That Didn't Make It Back Home,Justin Moore,2019-07-13,95,1
The Ones That Didn't Make It Back Home,Justin Moore,2019-07-20,84,1
The Ones That Didn't Make It Back Home,Justin Moore,2019-07-27,77,1
The Ones That Didn't Make It Back Home,Justin Moore,2019-08-03,68,1
The Ones That Didn't Make It Back Home,Justin Moore,2019-08-10,51,1
The Ones That Didn't Make It Back Home,Justin Moore,2019-08-17,46,1
The Ones That Didn't Make It Back Home,Justin Moore,2019-08-24,52,1
The Ones That Didn't Make It Back Home,Justin Moore,2019-08-31,51,1
The Ones That Didn't Make It Back Home,Justin Moore,2019-09-07,53,1
The Ones That Didn't Make It Back Home,Justin Moore,2019-09-14,48,1
The Ones That Didn't Make It Back Home,Justin Moore,2019-09-21,66,1
The Ones That Didn't Make It Back Home,Justin Moore,2019-09-28,66,1
The Ones That Didn't Make It Back Home,Justin Moore,2019-10-05,72,1
The Ones That Didn't Make It Back Home,Justin Moore,2019-10-12,92,1
The Race,Tay-K,2018-01-06,64,1
The Remedy For A Broken Heart (Why Am I So In Love),XXXTENTACION,2018-03-31,67,1
The Remedy For A Broken Heart (Why Am I So In Love),XXXTENTACION,2018-04-07,97,1
The Remedy For A Broken Heart (Why Am I So In Love),XXXTENTACION,2018-06-30,58,1
The Remedy For A Broken Heart (Why Am I So In Love),XXXTENTACION,2018-07-07,55,1
The Remedy For A Broken Heart (Why Am I So In Love),XXXTENTACION,2018-07-14,98,1
Sin Pijama,Becky G + Natti Natasha,2018-06-23,94,1
Shameless,Camila Cabello,2019-09-28,95,1
That's On Me,Yella Beezy,2018-08-18,95,1
Cry Pretty,Carrie Underwood,2018-05-05,96,1
POP STAR,DaBaby Featuring Kevin Gates,2019-10-19,97,1
All My Friends,21 Savage,2019-01-12,97,1
Dedication,Nipsey Hussle Featuring Kendrick Lamar,2019-04-20,97,1
Baby Sitter,DaBaby Featuring Offset,2019-08-31,97,1
Talk You Out Of It,Florida Georgia Line,2019-03-09,98,1
Adicto,"Tainy, Anuel AA & Ozuna",2019-10-12,98,1
Daddy,Blueface & Rich The Kid,2019-08-17,98,1
Bacc At It Again,"Yella Beezy, Gucci Mane & Quavo",2019-06-15,98,1
South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B,2019-08-03,99,1
Beautiful Crazy,Luke Combs,2018-05-26,99,1
31 Days,Future,2018-07-28,99,1
Boss,The Carters,2018-07-07,99,1
Proud,2 Chainz Featuring YG & Offset,2018-04-21,99,1
Die Young,Roddy Ricch,2019-05-25,99,1
Did It Again,Lil Tecca,2019-09-07,99,1
Doin' Time,Lana Del Rey,2019-09-21,100,1
Pop Out,Polo G Featuring Lil Tjay,2019-04-13,100,1
Te Robare,Nicky Jam X Ozuna,2019-06-01,100,1
Somebody,"Internet Money, Lil Tecca & A Boogie Wit da Hoodie",2019-11-09,100,1
Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,2018-12-08,100,1
"Thank U, Next",Ariana Grande,2018-12-01,1,1
7 Rings,Ariana Grande,2019-02-16,1,1
Please Me,Cardi B & Bruno Mars,2019-03-16,3,1
Psycho,Post Malone Featuring Ty Dolla $ign,2018-03-24,5,1
Senorita,Shawn Mendes & Camila Cabello,2019-07-20,5,1
Sad!,XXXTENTACION,2018-03-31,7,1
Sucker,Jonas Brothers,2019-03-30,8,1
Circles,Post Malone,2019-09-28,9,1
Sicko Mode,Travis Scott,2018-09-01,9,1
Pray For Me,The Weeknd & Kendrick Lamar,2018-03-03,9,1
Bad Guy,Billie Eilish,2019-04-27,9,1
"10,000 Hours",Dan + Shay & Justin Bieber,2019-11-02,10,1
Shallow,Lady Gaga & Bradley Cooper,2018-10-27,10,1
Bandit,Juice WRLD & YoungBoy Never Broke Again,2019-11-02,12,1
Roxanne,Arizona Zervas,2019-11-30,12,1
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,2019-03-09,13,1
Bartier Cardi,Cardi B Featuring 21 Savage,2018-01-20,14,1
Be Careful,Cardi B,2018-04-28,15,1
Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",2018-10-27,16,1
Call Out My Name,The Weeknd,2018-04-28,17,1
Beautiful People,Ed Sheeran Featuring Khalid,2019-07-27,19,1
Boyfriend,Ariana Grande & Social House,2019-08-31,20,1
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,2018-11-17,23,1
Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott,2019-10-05,25,1
Better Now,Post Malone,2018-05-26,26,1
Sleigh Ride,The Ronettes,2019-01-05,26,1
Panini,Lil Nas X,2019-07-20,27,1
Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,2019-04-27,27,1
Rudolph The Red-Nosed Reindeer,Gene Autry,2018-12-29,28,1
Say Something,Justin Timberlake Featuring Chris Stapleton,2018-02-24,31,1
Dancing With A Stranger,Sam Smith & Normani,2019-02-09,31,1
Bury A Friend,Billie Eilish,2019-02-23,32,1
Don't Matter To Me,Drake Featuring Michael Jackson,2018-07-28,33,1
A Lot,21 Savage,2019-01-19,33,1
Robbery,Juice WRLD,2019-03-16,34,1
Stargazing,Travis Scott,2018-09-01,35,1
Dame Tu Cosita,Pitbull x El Chombo x Karol G Featuring Cutty Ranks,2018-05-19,36,1
Baby Shark,Pinkfong,2019-01-26,37,1
Changes,XXXTENTACION,2018-03-31,37,1
Back To You,Selena Gomez,2018-06-09,38,1
Taste,Tyga Featuring Offset,2018-06-23,38,1
223's,YNW Melly & 9lokknine,2019-10-05,38,1
Boy With Luv,BTS Featuring Halsey,2019-05-11,40,1
Rap Devil,Machine Gun Kelly,2018-10-06,40,1
Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,2019-01-19,40,1
Beer Never Broke My Heart,Luke Combs,2019-06-01,41,1
Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",2018-05-19,41,1
Sweet But Psycho,Ava Max,2019-01-12,41,1
Close Friends,Lil Baby,2018-11-03,42,1
Sanguine Paradise,Lil Uzi Vert,2019-05-11,42,1
Don't Start Now,Dua Lipa,2019-11-30,42,1
Camelot,NLE Choppa,2019-10-12,42,1
Apes**t,The Carters,2018-07-14,43,1
China,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",2019-08-17,43,1
Crushed Up,Future,2019-02-02,43,1
Barbie Dreams,Nicki Minaj,2018-09-08,45,1
Baby,Lil Baby & DaBaby,2019-08-17,45,1
Outside Today,YoungBoy Never Broke Again,2018-02-10,45,1
44 More,Logic,2018-03-24,46,1
Calling My Spirit,Kodak Black,2018-12-29,46,1
All Girls Are The Same,Juice WRLD,2018-06-09,47,1
Chun-Li,Nicki Minaj,2018-05-05,48,1
All Mine,Kanye West,2018-06-30,48,1
Saint-Tropez,Post Malone,2019-10-05,48,1
STOOPID,6ix9ine Featuring Bobby Shmurda,2018-11-03,48,1
Cross Me,Ed Sheeran Featuring Chance The Rapper & PnB Rock,2019-06-22,49,1
TATI,6ix9ine Featuring DJ SPINKING,2018-06-23,50,1
Beautiful,Bazzi Featuring Camila Cabello,2018-09-01,50,1
Billy,6ix9ine,2018-03-24,50,1
Act Up,City Girls,2019-03-30,50,1
Ball For Me,Post Malone Featuring Nicki Minaj,2018-05-26,51,1
Rodeo,Lil Nas X & Cardi B,2019-07-20,51,1
Suge,DaBaby,2019-04-27,51,1
Dance Monkey,Tones And I,2019-11-02,51,1
Powerglide,Rae Sremmurd & Juicy J,2018-03-31,51,1
Bad Bad Bad,Young Thug Featuring Lil Baby,2019-09-14,52,1
Overdose,YoungBoy Never Broke Again,2018-05-26,52,1
Ran$om,Lil Tecca,2019-06-29,52,1
Delicate,Taylor Swift,2018-04-07,52,1
Queen Of Mean,Sarah Jeffery,2019-08-31,53,1
Paranoid,Post Malone,2018-05-26,54,1
BAD!,XXXTENTACION,2018-12-08,54,1
BOP,DaBaby,2019-10-26,54,1
All The Stars,Kendrick Lamar & SZA,2018-02-03,54,1
Simple,Florida Georgia Line,2018-06-30,54,1
Rich & Sad,Post Malone,2018-05-26,55,1
Talk,Khalid,2019-03-09,55,1
Armed And Dangerous,Juice WRLD,2018-12-08,55,1
Plug Walk,Rich The Kid,2018-03-10,55,1
ATM,J. Cole,2018-05-19,56,1
Breathin,Ariana Grande,2018-09-15,56,1
Always Remember Us This Way,Lady Gaga,2018-11-03,57,1
Die For Me,Post Malone Featuring Future & Halsey,2019-10-05,59,1
Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,2019-01-19,59,1
Spoil My Night,Post Malone Featuring Swae Lee,2018-05-26,60,1
Press,Cardi B,2019-06-29,60,1
Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,2018-11-24,60,1
Can't Take A Joke,Drake,2018-07-28,61,1
Saturday Nights,Khalid & Kane Brown,2019-02-09,61,1
Boo'd Up,Ella Mai,2018-04-28,62,1
Blinding Lights,The Weeknd,2019-12-28,63,1
10 Freaky Girls,Metro Boomin Featuring 21 Savage,2018-12-01,63,1
Death,Trippie Redd Featuring DaBaby,2019-12-14,64,1
One Kiss,Calvin Harris & Dua Lipa,2018-05-05,64,1
"Sunrise, Sunburn, Sunset",Luke Bryan,2018-07-28,64,1
Did It Again,Lil Tecca,2019-09-14,64,1
Stay,Post Malone,2018-05-26,65,1
She Got The Best Of Me,Luke Combs,2018-09-08,65,1
Smile (Living My Best Life),Lil' Duval Featuring Snoop Dogg & Ball Greezy,2018-09-22,66,1
Slide Away,Miley Cyrus,2019-09-14,67,1
Before I Let Go,Beyonce,2019-05-18,67,1
One Number Away,Luke Combs,2018-04-14,67,1
Blue Tacoma,Russell Dickerson,2018-09-15,68,1
Callaita,Bad Bunny & Tainy,2019-07-06,68,1
Rearview Town,Jason Aldean,2019-06-22,68,1
Cool,Jonas Brothers,2019-05-04,69,1
Broken,lovelytheband,2018-08-11,69,1
Praise The Lord (Da Shine),A$AP Rocky Featuring Skepta,2018-06-23,70,1
Pure Cocaine,Lil Baby,2018-12-29,70,1
Can't Leave Without It,21 Savage,2019-01-19,70,1
Ridin' Roads,Dustin Lynch,2019-11-30,70,1
Rewrite The Stars,Zac Efron & Zendaya,2018-01-27,70,1
Someone You Loved,Lewis Capaldi,2019-06-08,70,1
Don't Call Me Angel (Charlie's Angels),"Ariana Grande, Miley Cyrus & Lana Del Rey",2019-10-12,71,1
Ring,Cardi B Featuring Kehlani,2018-05-05,71,1
Come Thru,Summer Walker & Usher,2019-11-02,72,1
1400 / 999 Freestyle,Trippie Redd Featuring Juice WRLD,2018-12-08,72,1
Put A Date On It,Yo Gotti Featuring Lil Baby,2019-02-23,72,1
Sit Next To Me,Foster The People,2018-04-14,72,1
Stir Fry,Migos,2018-01-20,72,1
Red Room,Offset,2019-03-16,73,1
Soltera,"Lunay, Daddy Yankee & Bad Bunny",2019-06-08,73,1
Space Cadet,Metro Boomin Featuring Gunna,2018-12-01,74,1
Suicidal,YNW Melly,2019-12-21,74,1
Red Roses,Lil Skies Featuring Landon Cube,2018-02-03,74,1
Remind Me To Forget,Kygo Featuring Miguel,2018-08-11,74,1
Some Of It,Eric Church,2019-06-22,74,1
Cash Shit,Megan Thee Stallion Featuring DaBaby,2019-07-20,74,1
Paramedic!,SOB X RBE,2018-03-10,76,1
Take It From Me,Jordan Davis,2019-01-26,76,1
Big Ole Freak,Megan Thee Stallion,2019-05-04,76,1
Ruin My Life,Zara Larsson,2019-01-26,77,1
That's A Rack,Lil Uzi Vert,2019-05-11,77,1
Coming Home,Keith Urban Featuring Julia Michaels,2018-07-21,77,1
1942,G-Eazy Featuring Yo Gotti & YBN Nahmir,2018-08-11,77,1
One Foot,WALK THE MOON,2018-01-27,77,1
Speechless,Dan + Shay,2018-10-06,77,1
Singles You Up,Jordan Davis,2018-03-03,77,1
Barbie Tingz,Nicki Minaj,2018-05-05,78,1
Antisocial,Ed Sheeran & Travis Scott,2019-08-10,78,1
Don't Come Out The House,Metro Boomin Featuring 21 Savage,2018-12-01,78,1
6 Kiss,Trippie Redd Featuring Juice WRLD & YNW Melly,2019-12-21,78,1
Dip,Tyga & Nicki Minaj,2018-11-24,78,1
Daddy,Blueface & Rich The Kid,2019-08-24,78,1
Summertime Magic,Childish Gambino,2018-08-11,79,1
One Thing Right,Marshmello & Kane Brown,2019-07-20,79,1
Blue Tint,Drake,2018-07-28,80,1
Self Control,YoungBoy Never Broke Again,2019-10-05,80,1
Talk To Me,Tory Lanez & Rich The Kid,2018-11-24,80,1
Prayed For You,Matt Stell,2019-08-31,80,1
Don't Call Me Up,Mabel,2019-04-20,80,1
Bed,Nicki Minaj Featuring Ariana Grande,2018-07-14,81,1
Shot Clock,Ella Mai,2019-02-23,81,1
One Man Band,Old Dominion,2019-09-21,81,1
Best Friend,"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno",2018-01-27,81,1
Be Alright,Dean Lewis,2018-11-24,81,1
Southbound,Carrie Underwood,2019-08-10,81,1
After Dark,Drake Featuring Static Major & Ty Dolla $ign,2018-07-28,82,1
OTW,"Khalid, Ty Dolla $ign & 6LACK",2018-05-19,82,1
Call You Mine,The Chainsmokers & Bebe Rexha,2019-06-29,82,1
Body,Loud Luxury Featuring Brando,2019-01-26,82,1
Consequences,Camila Cabello,2018-12-01,82,1
Shotta Flow,NLE Choppa,2019-05-18,82,1
Diplomatic Immunity,Drake,2018-02-17,83,1
Otro Trago,"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",2019-07-06,83,1
Rumor,Lee Brice,2019-04-06,83,1
Raised On Country,Chris Young,2019-06-29,83,1
Out The Mud,Lil Baby Featuring Future,2019-07-20,85,1
Right Back,Khalid Featuring A Boogie Wit da Hoodie,2019-08-31,85,1
BEBE,6ix9ine Featuring Anuel AA,2018-09-29,86,1
Promises,Calvin Harris & Sam Smith,2018-09-15,86,1
At The Club,Jacquees X Dej Loaf,2018-03-03,86,1
Candy,Doja Cat,2019-12-21,86,1
That's On Me,Yella Beezy,2018-08-25,86,1
Better,Khalid,2018-10-13,87,1
Baila Baila Baila,Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA,2019-05-25,87,1
Corazon,Maluma X Nego do Borel,2018-01-27,87,1
Roses,benny blanco & Juice WRLD Featuring Brendon Urie,2019-01-26,87,1
A Thousand Bad Times,Post Malone,2019-10-05,88,1
Shoota,Playboi Carti Featuring Lil Uzi Vert,2018-06-09,88,1
Sixteen,Thomas Rhett,2018-12-08,88,1
Baguettes In The Face,"Mustard featuring NAV, Playboi Carti & A Boogie Wit da Hoodie",2019-08-10,88,1
Over Now,Post Malone,2018-05-26,89,1
Diamond Teeth Samurai,YoungBoy Never Broke Again,2018-05-05,89,1
Booty,Blac Youngsta,2018-03-24,89,1
Ballin',Mustard Featuring Roddy Ricch,2019-08-17,89,1
Pop Out,Polo G Featuring Lil Tjay,2019-04-20,89,1
Bad Idea,Ariana Grande,2019-03-09,90,1
Self Care,Mac Miller,2018-10-06,90,1
Chanel (Go Get It),Young Thug Featuring Gunna & Lil Baby,2018-09-15,90,1
Calma,Pedro Capo X Farruko,2019-04-06,90,1
Don't Cry,Lil Wayne Featuring XXXTENTACION,2018-10-27,91,1
Remember You Young,Thomas Rhett,2019-10-12,91,1
Taking A Walk,Trippie Redd,2018-09-08,92,1
Best Part,Daniel Caesar Featuring H.E.R.,2018-08-18,92,1
Burning Man,Dierks Bentley Featuring Brothers Osborne,2018-11-17,92,1
Only Human,Jonas Brothers,2019-07-06,92,1
Same Bitches,Post Malone Featuring G-Eazy & YG,2018-05-26,93,1
Bloodline,Ariana Grande,2019-03-09,93,1
Show Yourself,Idina Menzel & Evan Rachel Wood,2019-12-21,93,1
Desperate Man,Eric Church,2018-08-11,93,1
All To Myself,Dan + Shay,2019-06-01,93,1
Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,2018-12-15,93,1
Bacc At It Again,"Yella Beezy, Gucci Mane & Quavo",2019-06-22,94,1
Best Shot,Jimmie Allen,2018-10-13,95,1
Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD,2019-01-19,95,1
Te Robare,Nicky Jam X Ozuna,2019-06-08,95,1
She's With Me,High Valley,2018-03-24,96,1
Takin' Shots,Post Malone,2018-05-26,97,1
24/7,Meek Mill Featuring Ella Mai,2018-12-29,97,1
Shameless,Camila Cabello,2019-10-05,97,1
Sick Boy,The Chainsmokers,2018-02-17,97,1
Meant To Be,Bebe Rexha & Florida Georgia Line,2018-03-03,8,1
Nice For What,Drake,2018-08-11,10,1
Good As Hell,Lizzo,2019-12-28,10,1
Gucci Gang,Lil Pump,2018-01-20,12,1
No Tears Left To Cry,Ariana Grande,2018-08-25,12,1
Going Bad,Meek Mill Featuring Drake,2019-04-06,12,1
Let You Down,NF,2018-02-24,12,1
Natural,Imagine Dragons,2018-11-24,13,1
Middle Child,J. Cole,2019-05-25,14,1
Friends,Marshmello & Anne-Marie,2018-06-16,14,1
If I Can't Have You,Shawn Mendes,2019-09-07,16,1
Mo Bamba,Sheck Wes,2018-12-29,16,1
Mine,Bazzi,2018-05-26,17,1
Eastside,"Benny Blanco, Halsey & Khalid",2018-11-17,18,1
Look Alive,BlocBoy JB Featuring Drake,2018-06-16,19,1
MIA,Bad Bunny Featuring Drake,2019-02-16,19,1
Money,Cardi B,2019-02-23,19,1
"Hey Look Ma, I Made It",Panic! At The Disco,2019-08-17,19,1
I Fall Apart,Post Malone,2018-02-03,19,1
God Is A Woman,Ariana Grande,2018-11-17,20,1
Money In The Grave,Drake Featuring Rick Ross,2019-10-19,21,1
God's Country,Blake Shelton,2019-08-03,21,1
How Long,Charlie Puth,2018-02-17,21,1
Leave Me Alone,Flipp Dinero,2019-01-19,21,1
Nonstop,Drake,2018-11-03,22,1
Get Along,Kenny Chesney,2018-08-11,22,1
In My Feelings,Drake,2018-11-03,23,1
In My Blood,Shawn Mendes,2018-07-21,23,1
Goodbyes,Post Malone Featuring Young Thug,2019-11-09,24,1
Finesse,Bruno Mars & Cardi B,2018-05-05,25,1
MotorSport,"Migos, Nicki Minaj & Cardi B",2018-03-10,30,1
Lights Down Low,MAX Featuring gnash,2018-02-17,30,1
How Do You Sleep?,Sam Smith,2019-11-23,31,1
Him & I,G-Eazy & Halsey,2018-04-14,32,1
Hot,Young Thug Featuring Gunna,2019-12-21,33,1
Knockin' Boots,Luke Bryan,2019-08-31,34,1
Envy Me,Calboy,2019-04-20,34,1
Love Lies,Khalid & Normani,2018-06-23,34,1
On Chill,Wale Featuring Jeremih,2019-12-14,35,1
I'm A Mess,Bebe Rexha,2018-11-17,35,1
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,2018-12-08,17,1
Boo'd Up,Ella Mai,2018-05-19,17,1
Sad!,XXXTENTACION,2018-04-21,18,1
Bartier Cardi,Cardi B Featuring 21 Savage,2018-02-10,19,1
Shallow,Lady Gaga & Bradley Cooper,2018-11-17,22,1
Bandit,Juice WRLD & YoungBoy Never Broke Again,2019-11-23,22,1
Beautiful People,Ed Sheeran Featuring Khalid,2019-08-17,22,1
Suge,DaBaby,2019-05-18,22,1
Beer Never Broke My Heart,Luke Combs,2019-06-22,22,1
Dance Monkey,Tones And I,2019-11-23,23,1
Plug Walk,Rich The Kid,2018-03-31,23,1
Baby,Lil Baby & DaBaby,2019-09-07,24,1
Boyfriend,Ariana Grande & Social House,2019-09-21,25,1
Be Careful,Cardi B,2018-05-19,25,1
Dancing With A Stranger,Sam Smith & Normani,2019-03-02,25,1
A Lot,21 Savage,2019-02-09,26,1
Ran$om,Lil Tecca,2019-07-20,26,1
Call Out My Name,The Weeknd,2018-05-19,29,1
Chun-Li,Nicki Minaj,2018-05-26,29,1
Apes**t,The Carters,2018-08-04,30,1
Panini,Lil Nas X,2019-08-10,31,1
Say Something,Justin Timberlake Featuring Chris Stapleton,2018-03-17,32,1
River,Eminem Featuring Ed Sheeran,2018-01-20,32,1
Back To You,Selena Gomez,2018-06-30,33,1
Better Now,Post Malone,2018-06-16,34,1
Better,Khalid,2018-11-03,34,1
Sweet But Psycho,Ava Max,2019-02-02,35,1
Outside Today,YoungBoy Never Broke Again,2018-03-03,35,1
Powerglide,Rae Sremmurd & Juicy J,2018-04-21,36,1
Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",2018-06-09,36,1
Robbery,Juice WRLD,2019-04-06,37,1
Cross Me,Ed Sheeran Featuring Chance The Rapper & PnB Rock,2019-07-13,37,1
Simple,Florida Georgia Line,2018-07-21,37,1
Taste,Tyga Featuring Offset,2018-07-14,39,1
Camelot,NLE Choppa,2019-11-02,39,1
One Kiss,Calvin Harris & Dua Lipa,2018-05-26,39,1
Baby Shark,Pinkfong,2019-02-16,40,1
Act Up,City Girls,2019-04-20,40,1
Talk,Khalid,2019-03-30,41,1
Bury A Friend,Billie Eilish,2019-03-16,42,1
Don't Start Now,Dua Lipa,2019-12-21,42,1
223's,YNW Melly & 9lokknine,2019-10-26,42,1
Beautiful,Bazzi Featuring Camila Cabello,2018-09-22,42,1
Cash Shit,Megan Thee Stallion Featuring DaBaby,2019-08-10,42,1
Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,2019-02-09,45,1
All Girls Are The Same,Juice WRLD,2018-06-30,45,1
She Got The Best Of Me,Luke Combs,2018-09-29,50,1
Self Control,YoungBoy Never Broke Again,2019-10-26,50,1
Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott,2019-10-26,51,1
Delicate,Taylor Swift,2018-04-28,51,1
Coming Home,Keith Urban Featuring Julia Michaels,2018-08-11,51,1
Broken,lovelytheband,2018-09-01,51,1
Pop Out,Polo G Featuring Lil Tjay,2019-05-11,51,1
BAD!,XXXTENTACION,2018-12-29,52,1
Blue Tacoma,Russell Dickerson,2018-10-06,52,1
Someone You Loved,Lewis Capaldi,2019-06-29,54,1
Toxic Waste,Trippie Redd,2018-11-24,98,1
Train Food,XXXTENTACION,2018-12-22,64,1
Trampoline,SHAED,2019-06-15,99,1
Trampoline,SHAED,2019-06-22,89,1
Trampoline,SHAED,2019-06-29,84,1
Trampoline,SHAED,2019-07-06,77,1
Trampoline,SHAED,2019-07-13,89,1
Trampoline,SHAED,2019-07-20,78,1
Trampoline,SHAED,2019-07-27,72,1
Trampoline,SHAED,2019-08-03,67,1
Trampoline,SHAED,2019-08-10,60,1
Trampoline,SHAED,2019-08-17,52,1
Trampoline,SHAED,2019-08-24,47,1
Trampoline,SHAED,2019-08-31,42,1
Trampoline,SHAED,2019-09-07,41,1
Trampoline,SHAED,2019-09-14,37,1
Trampoline,SHAED,2019-09-21,42,1
Trampoline,SHAED,2019-09-28,34,1
Trampoline,SHAED,2019-10-05,32,1
Trampoline,SHAED,2019-10-12,18,1
Trampoline,SHAED,2019-10-19,22,1
Trampoline,SHAED,2019-10-26,21,1
Trampoline,SHAED,2019-11-02,19,1
Trampoline,SHAED,2019-11-09,16,1
Trampoline,SHAED,2019-11-16,16,1
Trampoline,SHAED,2019-11-23,14,1
Trampoline,SHAED,2019-11-30,13,1
Trampoline,SHAED,2019-12-07,17,1
Trampoline,SHAED,2019-12-14,19,1
Trampoline,SHAED,2019-12-21,27,1
Trampoline,SHAED,2019-12-28,33,1
Trauma,Meek Mill,2018-12-15,61,1
Triggered,Jhene Aiko,2019-05-25,51,1
Triggered,Jhene Aiko,2019-06-01,94,1
Triggered,Jhene Aiko,2019-06-08,100,1
Trip,Ella Mai,2018-08-18,79,1
Trip,Ella Mai,2018-08-25,76,1
Trip,Ella Mai,2018-09-01,67,1
Trip,Ella Mai,2018-09-08,54,1
Trip,Ella Mai,2018-09-15,32,1
Trip,Ella Mai,2018-09-22,23,1
Trip,Ella Mai,2018-09-29,21,1
Trip,Ella Mai,2018-10-06,18,1
Trip,Ella Mai,2018-10-13,20,1
Trip,Ella Mai,2018-10-20,16,1
Trip,Ella Mai,2018-10-27,11,1
Trip,Ella Mai,2018-11-03,18,1
Trip,Ella Mai,2018-11-10,17,1
Trip,Ella Mai,2018-11-17,17,1
Trip,Ella Mai,2018-11-24,18,1
Trip,Ella Mai,2018-12-01,15,1
Trip,Ella Mai,2018-12-08,16,1
Trip,Ella Mai,2018-12-15,23,1
Trip,Ella Mai,2018-12-22,23,1
Trip,Ella Mai,2018-12-29,29,1
Trip,Ella Mai,2019-01-05,38,1
Trip,Ella Mai,2019-01-12,23,1
Trip,Ella Mai,2019-01-19,26,1
Trip,Ella Mai,2019-01-26,29,1
Trip,Ella Mai,2019-02-02,30,1
Trip,Ella Mai,2019-02-09,35,1
Trip,Ella Mai,2019-02-16,38,1
Trust Issues,Drake,2019-08-17,58,1
Truth Hurts,Lizzo,2019-05-18,50,1
Truth Hurts,Lizzo,2019-05-25,42,1
Truth Hurts,Lizzo,2019-06-01,38,1
Truth Hurts,Lizzo,2019-06-08,26,1
Truth Hurts,Lizzo,2019-06-15,21,1
Truth Hurts,Lizzo,2019-06-22,17,1
Truth Hurts,Lizzo,2019-06-29,14,1
Truth Hurts,Lizzo,2019-07-06,11,1
Truth Hurts,Lizzo,2019-07-13,6,1
Truth Hurts,Lizzo,2019-07-20,7,1
Truth Hurts,Lizzo,2019-07-27,6,1
Truth Hurts,Lizzo,2019-08-03,5,1
Truth Hurts,Lizzo,2019-08-10,4,1
Truth Hurts,Lizzo,2019-08-17,4,1
Truth Hurts,Lizzo,2019-08-24,4,1
Truth Hurts,Lizzo,2019-08-31,3,1
Truth Hurts,Lizzo,2019-09-07,1,1
Truth Hurts,Lizzo,2019-09-14,1,1
Truth Hurts,Lizzo,2019-09-21,1,1
Truth Hurts,Lizzo,2019-09-28,1,1
Truth Hurts,Lizzo,2019-10-05,1,1
Truth Hurts,Lizzo,2019-10-12,1,1
Truth Hurts,Lizzo,2019-10-19,2,1
Truth Hurts,Lizzo,2019-10-26,1,1
Truth Hurts,Lizzo,2019-11-02,2,1
Truth Hurts,Lizzo,2019-11-09,5,1
Truth Hurts,Lizzo,2019-11-16,4,1
Truth Hurts,Lizzo,2019-11-23,6,1
Truth Hurts,Lizzo,2019-11-30,10,1
